Male_1,RaceEth_1,SexMinority_1,HIV,PrEP
0,1,0,0.03721794355238851,0.06819225531994313
0,1,1,0.011764705882352941,0.023529411764705882
0,2,0,0.032870829247653596,0.052907797078143706
0,2,1,0.021335657033718015,0.06273108471880723
0,3,0,0.024497069862415684,0.05293384563673077
0,3,1,0.012493086930307075,0.05435812965286069
0,4,0,0.026314367541004392,0.05098746662541955
0,4,1,0.012594370519355396,0.04834035730166612
1,1,0,0.006141603558119967,0.5222605938624691
1,1,1,0.0125,0.43936147186147184
1,2,0,0.05765347575387454,0.4913097504869054
1,2,1,0.0783623188405797,0.46352832674571803
1,3,0,0.026203630053676014,0.5448144097416192
1,3,1,0.08000420976206882,0.49152496423717296
1,4,0,0.02740201890286052,0.48675562387227317
1,4,1,0.050643540669856456,0.4689354066985646
